	[psi_1, psi2]	[ssx,ssy, esx,esy]	sampled prefrence	ER
2838	"[[2. 0. 1. 0. 0. 0.]
 [2. 0. 1. 0. 1. 0.]]"	"[[0. 3. 2. 2.]
 [0. 1. 2. 2.]]"	[0, 1]	[-87.44353466890624, -86.3736830431031]
2839	"[[3. 0. 0. 0. 0. 0.]
 [1. 0. 0. 1. 0. 2.]]"	"[[1. 4. 1. 3.]
 [5. 7. 7. 8.]]"	[0, 1]	[-2.046501546209811, -0.8592928020499997]
2840	"[[3. 0. 0. 1. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[7. 1. 7. 1.]
 [7. 1. 9. 2.]]"	[0, 1]	[-2.0, 0.026719939351693256]
2841	"[[1. 0. 0. 1. 0. 2.]
 [1. 0. 0. 0. 0. 2.]]"	"[[8. 8. 6. 7.]
 [0. 7. 2. 8.]]"	[0, 1]	[-8.144852049999997, -0.879960963359153]
2842	"[[3. 0. 0. 0. 0. 0.]
 [0. 0. 0. 1. 0. 3.]]"	"[[4. 4. 2. 3.]
 [8. 7. 8. 8.]]"	[0, 1]	[-6.118788092600617, -2.950000000000003]
2843	"[[3. 0. 0. 1. 0. 0.]
 [0. 0. 0. 0. 0. 3.]]"	"[[0. 4. 1. 3.]
 [1. 7. 2. 9.]]"	[0, 1]	[-1.0109750299800098, -0.8748357991582978]
2844	"[[2. 0. 1. 0. 1. 0.]
 [2. 0. 1. 0. 0. 0.]]"	"[[3. 2. 2. 2.]
 [2. 3. 2. 2.]]"	[0, 1]	[-91.51653221580564, -89.51753221580563]
2845	"[[3. 0. 0. 0. 0. 0.]
 [1. 0. 0. 1. 0. 2.]]"	"[[6. 6. 5. 6.]
 [6. 6. 7. 8.]]"	[0, 1]	[-4.04480929280205, -0.8592928020499997]
2846	"[[3. 0. 0. 0. 0. 0.]
 [2. 0. 0. 0. 0. 1.]]"	"[[6. 6. 6. 6.]
 [6. 6. 8. 7.]]"	[0, 1]	[-3.0, -0.8592928020499997]
2847	"[[3. 0. 0. 0. 0. 0.]
 [3. 0. 0. 0. 1. 0.]]"	"[[8. 3. 7. 3.]
 [8. 3. 9. 3.]]"	[0, 1]	[-4.042767480510257, -3.054742504499252]
2848	"[[3. 0. 0. 0. 0. 0.]
 [3. 0. 0. 0. 1. 0.]]"	"[[3. 2. 1. 1.]
 [7. 5. 9. 6.]]"	[0, 1]	[-7.1084410815683015, 0.039858147950013745]
2849	"[[3. 0. 0. 0. 0. 0.]
 [2. 0. 0. 0. 0. 1.]]"	"[[4. 1. 1. 1.]
 [0. 8. 1. 9.]]"	[0, 1]	[-7.1084410815683015, -0.9186002826675477]
2850	"[[3. 0. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 2.]]"	"[[1. 7. 0. 6.]
 [1. 7. 3. 8.]]"	[0, 1]	[-5.076239999297499, 0.1251642008417022]
2851	"[[3. 0. 0. 1. 0. 0.]
 [2. 0. 0. 0. 0. 1.]]"	"[[1. 6. 1. 3.]
 [9. 6. 8. 7.]]"	[1, 0]	[-3.1206653055080196, -3.901149950000004]
2852	"[[3. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 3.]]"	"[[5. 6. 4. 4.]
 [2. 8. 2. 8.]]"	[0, 1]	[-6.128163200841698, -6.0]
2853	"[[3. 0. 0. 0. 1. 0.]
 [3. 0. 0. 0. 1. 0.]]"	"[[9. 7. 9. 4.]
 [9. 2. 8. 2.]]"	[0, 1]	[-8.142554498750044, -4.944312238005246]
2854	"[[3. 0. 0. 1. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[2. 5. 0. 4.]
 [0. 6. 0. 7.]]"	[0, 1]	[-4.107693274528003, -1.9623993200108956]
2855	"[[3. 0. 0. 0. 0. 0.]
 [3. 0. 0. 0. 1. 0.]]"	"[[0. 6. 1. 5.]
 [7. 0. 8. 2.]]"	[0, 1]	[-3.0, -1.877949993325167]
2856	"[[3. 0. 0. 1. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[7. 2. 7. 0.]
 [7. 2. 9. 3.]]"	[0, 1]	[-3.080325293645096, 0.029749689040734495]
2857	"[[3. 0. 0. 0. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[4. 7. 4. 4.]
 [4. 7. 4. 9.]]"	[0, 1]	[-6.128163200841698, -0.9093355592479497]
2858	"[[3. 0. 0. 0. 0. 0.]
 [3. 0. 0. 0. 1. 0.]]"	"[[3. 2. 3. 1.]
 [3. 2. 3. 1.]]"	[1, 0]	[-5.038516532215802, -6.038516532215802]
2859	"[[3. 0. 0. 0. 0. 0.]
 [2. 0. 0. 0. 0. 1.]]"	"[[1. 8. 0. 6.]
 [1. 6. 2. 8.]]"	[0, 1]	[-6.1159189976042185, 0.12003903664084703]
2860	"[[3. 0. 0. 0. 1. 0.]
 [0. 0. 0. 0. 0. 3.]]"	"[[8. 3. 9. 3.]
 [4. 0. 6. 0.]]"	[1, 0]	[-3.054742504499252, -3.914955323550032]
2861	"[[2. 0. 1. 0. 0. 0.]
 [2. 0. 1. 0. 0. 0.]]"	"[[2. 5. 2. 2.]
 [1. 0. 2. 2.]]"	[0, 1]	[-89.59868298809785, -86.3706900341081]
2862	"[[3. 0. 0. 1. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[6. 2. 5. 1.]
 [6. 2. 6. 2.]]"	[1, 0]	[-2.0862170242815097, -3.0]
2863	"[[2. 0. 1. 0. 1. 0.]
 [2. 0. 1. 0. 1. 0.]]"	"[[5. 4. 6. 3.]
 [5. 3. 6. 3.]]"	[0, 1]	[-94.67799830671296, -93.63632030840625]
2864	"[[3. 0. 0. 0. 0. 0.]
 [3. 0. 0. 1. 0. 0.]]"	"[[0. 0. 0. 1.]
 [6. 2. 5. 3.]]"	[0, 1]	[-2.9626363009708996, -1.0059850199850047]
2865	"[[0. 0. 0. 0. 0. 3.]
 [3. 0. 0. 0. 0. 0.]]"	"[[6. 0. 6. 0.]
 [4. 5. 4. 8.]]"	[0, 1]	[-6.0, 0.13129449533703763]
2866	"[[2. 0. 1. 0. 1. 0.]
 [2. 0. 1. 0. 0. 0.]]"	"[[5. 5. 6. 3.]
 [8. 2. 6. 3.]]"	[0, 1]	[-95.7207190257387, -93.7247130297377]
2867	"[[1. 0. 0. 0. 0. 2.]
 [3. 0. 0. 0. 0. 0.]]"	"[[7. 0. 5. 1.]
 [7. 0. 9. 1.]]"	[0, 1]	[-5.046574718953124, -0.9763067805876631]
2868	"[[2. 0. 1. 0. 0. 0.]
 [2. 0. 1. 0. 0. 0.]]"	"[[7. 3. 6. 3.]
 [5. 2. 6. 3.]]"	[0, 1]	[-93.7247130297377, -91.59568398809785]
2869	"[[3. 0. 0. 0. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[5. 8. 6. 6.]
 [9. 2. 9. 4.]]"	[0, 1]	[-4.04585514795, -0.9115297664929969]
2870	"[[0. 1. 0. 0. 0. 2.]
 [1. 1. 0. 0. 0. 1.]]"	"[[7. 8. 8. 9.]
 [5. 9. 8. 9.]]"	[0, 1]	[-1.9500000000000028, 0.09794999999999732]
2871	"[[2. 0. 1. 0. 0. 0.]
 [2. 0. 1. 0. 0. 0.]]"	"[[4. 8. 3. 6.]
 [0. 6. 3. 6.]]"	[0, 1]	[-96.80929280205001, -88.56307930910876]
2872	"[[3. 0. 0. 1. 0. 0.]
 [3. 0. 0. 0. 1. 0.]]"	"[[7. 2. 7. 0.]
 [7. 2. 7. 3.]]"	[0, 1]	[-3.080325293645096, -2.95827528697027]
2873	"[[2. 0. 1. 0. 1. 0.]
 [2. 0. 1. 0. 1. 0.]]"	"[[7. 3. 6. 3.]
 [5. 3. 6. 3.]]"	[0, 1]	[-94.7247130297377, -93.63632030840625]
2874	"[[2. 0. 1. 0. 0. 0.]
 [2. 0. 1. 0. 1. 0.]]"	"[[3. 3. 2. 2.]
 [3. 3. 2. 2.]]"	[1, 0]	[-90.55608830410975, -91.55608830410975]
2875	"[[3. 0. 0. 0. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[0. 2. 0. 2.]
 [0. 2. 0. 3.]]"	[0, 1]	[-3.0, -1.9645564653310998]
2876	"[[3. 0. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 2.]]"	"[[1. 9. 0. 8.]
 [1. 9. 1. 8.]]"	[1, 0]	[-6.081399717332452, -7.041720719025733]
2877	"[[3. 0. 0. 0. 1. 0.]
 [3. 0. 0. 1. 0. 0.]]"	"[[9. 7. 9. 6.]
 [0. 3. 1. 3.]]"	[0, 1]	[-5.048900049999993, -0.9635199853164025]
2878	"[[2. 0. 1. 0. 0. 0.]
 [2. 0. 1. 0. 0. 0.]]"	"[[1. 7. 3. 6.]
 [0. 6. 3. 6.]]"	[0, 1]	[-90.63931930840624, -88.56307930910876]
2879	"[[1. 0. 0. 0. 0. 2.]
 [3. 0. 0. 0. 0. 0.]]"	"[[5. 2. 6. 0.]
 [5. 2. 4. 4.]]"	[0, 1]	[-6.032623628058047, -1.9593636796915987]
2880	"[[3. 0. 0. 0. 0. 0.]
 [1. 0. 0. 1. 0. 2.]]"	"[[8. 6. 7. 4.]
 [8. 6. 7. 6.]]"	[0, 1]	[-6.134569489752053, -5.045902050000002]
2881	"[[3. 0. 0. 0. 0. 0.]
 [2. 0. 0. 0. 0. 1.]]"	"[[1. 7. 2. 5.]
 [1. 7. 2. 7.]]"	[0, 1]	[-4.040636320308401, -1.9613210016932854]
2882	"[[3. 0. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 2.]]"	"[[6. 9. 6. 6.]
 [3. 2. 4. 0.]]"	[1, 0]	[-6.14070719795, -7.038516532215802]
2883	"[[3. 0. 0. 0. 1. 0.]
 [3. 0. 0. 0. 1. 0.]]"	"[[4. 3. 3. 1.]
 [5. 4. 8. 4.]]"	[0, 1]	[-7.117668304508015, -1.8667065046629716]
2884	"[[3. 0. 0. 1. 0. 0.]
 [0. 0. 0. 0. 0. 3.]]"	"[[3. 1. 2. 1.]
 [3. 0. 6. 0.]]"	[0, 1]	[-3.036478015683592, -2.87847730786644]
2885	"[[3. 0. 0. 0. 0. 0.]
 [2. 0. 0. 0. 0. 1.]]"	"[[2. 7. 1. 5.]
 [8. 5. 9. 7.]]"	[0, 1]	[-7.114918997604214, 0.043902049999999804]
2886	"[[3. 0. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 2.]]"	"[[2. 7. 0. 7.]
 [2. 7. 3. 9.]]"	[0, 1]	[-6.077318317615109, -0.8687055046629624]
2887	"[[1. 0. 0. 0. 0. 2.]
 [3. 0. 0. 0. 0. 0.]]"	"[[3. 8. 1. 9.]
 [0. 9. 0. 9.]]"	[0, 1]	[-7.04376448350925, -3.0]
2888	"[[2. 0. 0. 0. 0. 1.]
 [1. 0. 0. 0. 0. 2.]]"	"[[5. 9. 3. 8.]
 [6. 7. 7. 9.]]"	[0, 1]	[-7.13756649075205, -0.8551479500000028]
2889	"[[3. 0. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 2.]]"	"[[5. 4. 3. 3.]
 [7. 7. 9. 8.]]"	[0, 1]	[-6.121910002603215, -0.9520499999999998]
2890	"[[3. 0. 0. 1. 0. 0.]
 [3. 0. 0. 1. 0. 0.]]"	"[[7. 2. 7. 1.]
 [7. 2. 7. 2.]]"	[0, 1]	[-3.0406829883167106, -2.0]
2891	"[[2. 0. 0. 0. 0. 1.]
 [0. 0. 0. 0. 0. 3.]]"	"[[3. 7. 0. 7.]
 [5. 0. 6. 0.]]"	[0, 1]	[-9.120039036640854, -5.953471855765834]
2892	"[[3. 0. 0. 0. 1. 0.]
 [3. 0. 0. 1. 0. 0.]]"	"[[0. 3. 0. 2.]
 [0. 3. 2. 4.]]"	[0, 1]	[-5.0354435346689, -0.8824503637964938]
2893	"[[2. 0. 1. 0. 0. 0.]
 [2. 0. 1. 0. 1. 0.]]"	"[[4. 4. 6. 3.]
 [4. 4. 6. 3.]]"	[1, 0]	[-92.63632030840625, -93.63632030840625]
2894	"[[2. 0. 1. 0. 0. 0.]
 [2. 0. 1. 0. 0. 0.]]"	"[[5. 6. 3. 5.]
 [4. 4. 3. 5.]]"	[0, 1]	[-95.76448350924795, -92.63632030840625]
2895	"[[2. 0. 1. 1. 0. 0.]
 [3. 0. 0. 1. 1. 0.]]"	"[[5. 3. 6. 3.]
 [4. 2. 3. 0.]]"	[0, 1]	[-91.63632030840625, -7.114550636203504]
2896	"[[2. 0. 1. 0. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[5. 2. 6. 3.]
 [8. 0. 8. 1.]]"	[0, 1]	[-91.59568398809785, -1.9594152701137588]
2897	"[[2. 0. 1. 0. 0. 0.]
 [2. 0. 0. 0. 0. 1.]]"	"[[3. 2. 2. 2.]
 [6. 7. 3. 7.]]"	[0, 1]	[-90.51653221580564, -7.134428924261293]
2898	"[[2. 0. 1. 0. 0. 0.]
 [0. 0. 0. 1. 0. 3.]]"	"[[0. 1. 2. 2.]
 [6. 7. 8. 8.]]"	[0, 1]	[-85.3736830431031, -0.8551479500000028]
2899	"[[2. 1. 0. 0. 0. 0.]
 [2. 0. 0. 0. 0. 1.]]"	"[[9. 9. 8. 9.]
 [1. 8. 1. 7.]]"	[1, 0]	[-2.0, -5.039678998306719]
2900	"[[2. 0. 1. 0. 0. 0.]
 [0. 0. 0. 0. 0. 3.]]"	"[[2. 4. 2. 2.]
 [9. 8. 8. 8.]]"	[0, 1]	[-88.56108430510974, -5.950000000000003]
2901	"[[2. 1. 0. 0. 0. 0.]
 [0. 0. 0. 1. 0. 3.]]"	"[[9. 9. 8. 9.]
 [6. 9. 7. 7.]]"	[1, 0]	[-2.0, -7.04795]
2902	"[[2. 1. 0. 0. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[9. 9. 8. 9.]
 [9. 0. 8. 1.]]"	[1, 0]	[-2.0, -3.0]
2903	"[[2. 1. 0. 1. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[9. 8. 8. 9.]
 [2. 3. 3. 3.]]"	[1, 0]	[-0.9500000000000028, -1.9614439116958877]
2904	"[[1. 1. 0. 0. 0. 1.]
 [1. 0. 0. 0. 0. 2.]]"	"[[9. 8. 8. 9.]
 [3. 0. 4. 2.]]"	[0, 1]	[-2.950000000000003, -0.8854493637964964]
2905	"[[1. 1. 0. 0. 0. 1.]
 [3. 0. 0. 0. 0. 0.]]"	"[[9. 9. 8. 9.]
 [0. 8. 0. 5.]]"	[1, 0]	[-3.0, -6.112803078606603]
2906	"[[2. 0. 1. 0. 0. 0.]
 [2. 0. 0. 0. 0. 1.]]"	"[[2. 3. 2. 2.]
 [8. 6. 7. 6.]]"	[0, 1]	[-89.51753221580563, -5.045902050000002]
2907	"[[2. 0. 1. 0. 1. 0.]
 [3. 0. 0. 0. 1. 0.]]"	"[[1. 2. 2. 2.]
 [8. 6. 9. 8.]]"	[0, 1]	[-88.44353466890624, 0.04795000000000016]
2908	"[[2. 0. 1. 0. 0. 0.]
 [3. 0. 0. 1. 0. 0.]]"	"[[4. 8. 3. 6.]
 [7. 2. 9. 1.]]"	[0, 1]	[-96.80929280205001, -1.056632074232759]
2909	"[[2. 0. 1. 0. 0. 0.]
 [2. 0. 0. 0. 0. 1.]]"	"[[2. 4. 3. 6.]
 [9. 7. 8. 8.]]"	[0, 1]	[-88.56108430510974, -2.9000500000000002]
2910	"[[2. 1. 0. 1. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[9. 8. 8. 9.]
 [7. 6. 5. 6.]]"	[1, 0]	[-0.9500000000000028, -4.091664440752048]
2911	"[[0. 1. 0. 0. 0. 2.]
 [2. 0. 0. 1. 0. 1.]]"	"[[6. 8. 8. 9.]
 [7. 6. 7. 7.]]"	[1, 0]	[-0.9020500000000027, -1.9540979499999978]
2912	"[[1. 1. 0. 0. 0. 1.]
 [2. 0. 0. 0. 0. 1.]]"	"[[5. 9. 8. 9.]
 [2. 8. 1. 6.]]"	[1, 0]	[0.09794999999999732, -8.120039036640847]
2913	"[[0. 1. 0. 0. 0. 2.]
 [2. 0. 0. 0. 0. 1.]]"	"[[6. 8. 8. 9.]
 [2. 8. 4. 9.]]"	[0, 1]	[-0.9020500000000027, 0.13442892426130015]
2914	"[[2. 0. 1. 0. 0. 0.]
 [1. 0. 0. 0. 0. 2.]]"	"[[2. 3. 2. 2.]
 [3. 9. 2. 9.]]"	[0, 1]	[-89.51753221580563, -6.04480929280205]
2915	"[[2. 0. 1. 0. 1. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[2. 3. 2. 2.]
 [3. 9. 4. 9.]]"	[0, 1]	[-90.51753221580563, -1.9541448520499998]
2916	"[[2. 1. 0. 1. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[9. 8. 8. 9.]
 [3. 3. 4. 3.]]"	[1, 0]	[-0.9500000000000028, -1.9604043160118962]
2917	"[[1. 1. 0. 0. 0. 1.]
 [3. 0. 0. 0. 0. 0.]]"	"[[6. 9. 8. 9.]
 [5. 5. 5. 6.]]"	[1, 0]	[-0.9500000000000028, -1.9562355164907572]
2918	"[[2. 0. 1. 0. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[2. 3. 2. 2.]
 [1. 5. 0. 6.]]"	[0, 1]	[-89.51753221580563, -3.0]
2919	"[[2. 0. 1. 0. 0. 0.]
 [1. 0. 0. 0. 0. 2.]]"	"[[1. 0. 2. 2.]
 [6. 0. 7. 0.]]"	[0, 1]	[-86.3706900341081, -3.960397336976932]
2920	"[[2. 0. 1. 0. 1. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[7. 3. 6. 3.]
 [9. 5. 7. 4.]]"	[0, 1]	[-94.7247130297377, -6.035818289802052]
2921	"[[2. 0. 1. 1. 0. 0.]
 [3. 0. 0. 0. 2. 0.]]"	"[[5. 1. 6. 3.]
 [9. 5. 9. 6.]]"	[0, 1]	[-90.55608830410975, -2.952148850049994]
2922	"[[2. 0. 1. 0. 0. 0.]
 [1. 0. 0. 1. 0. 2.]]"	"[[2. 5. 2. 2.]
 [6. 8. 7. 6.]]"	[0, 1]	[-89.59868298809785, -6.045902050000002]
2923	"[[2. 0. 1. 0. 0. 0.]
 [0. 0. 0. 0. 0. 3.]]"	"[[3. 0. 2. 2.]
 [2. 6. 3. 8.]]"	[0, 1]	[-87.44153766790625, -0.872836799158307]
2924	"[[2. 1. 0. 0. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[9. 9. 8. 9.]
 [8. 1. 8. 0.]]"	[1, 0]	[-2.0, -4.040584729886241]
2925	"[[0. 1. 0. 0. 0. 2.]
 [3. 0. 0. 0. 1. 0.]]"	"[[7. 9. 8. 9.]
 [8. 1. 9. 2.]]"	[0, 1]	[-4.0, -1.9157046184897837]
2926	"[[2. 0. 1. 0. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[3. 2. 2. 2.]
 [0. 4. 0. 5.]]"	[0, 1]	[-90.51653221580564, -2.964473483770199]
2927	"[[2. 0. 1. 0. 1. 0.]
 [0. 0. 0. 0. 0. 3.]]"	"[[0. 3. 2. 2.]
 [7. 7. 8. 7.]]"	[0, 1]	[-88.44353466890624, -3.95205]
2928	"[[2. 0. 1. 0. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[4. 3. 2. 2.]
 [8. 6. 7. 4.]]"	[0, 1]	[-91.59568398809785, -6.134569489752053]
2929	"[[2. 0. 1. 0. 1. 0.]
 [1. 0. 0. 0. 0. 2.]]"	"[[1. 2. 2. 2.]
 [8. 6. 9. 8.]]"	[0, 1]	[-88.44353466890624, -0.9520499999999998]
2930	"[[2. 0. 1. 0. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[5. 5. 3. 5.]
 [1. 8. 0. 7.]]"	[0, 1]	[-94.7207190257387, -5.078318317615114]
2931	"[[2. 0. 1. 0. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[4. 4. 3. 5.]
 [1. 8. 0. 8.]]"	[0, 1]	[-92.63632030840625, -4.039678998306719]
2932	"[[2. 0. 1. 0. 0. 0.]
 [3. 0. 0. 0. 1. 0.]]"	"[[5. 3. 6. 3.]
 [9. 0. 8. 2.]]"	[0, 1]	[-92.63632030840625, -2.8600168564950295]
2933	"[[2. 0. 1. 0. 0. 0.]
 [3. 0. 0. 0. 1. 0.]]"	"[[7. 2. 6. 3.]
 [9. 0. 8. 2.]]"	[0, 1]	[-92.68298831670796, -2.8600168564950295]
2934	"[[2. 0. 1. 0. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[6. 6. 3. 6.]
 [0. 8. 0. 8.]]"	[0, 1]	[-96.80929280205001, -3.0]
2935	"[[1. 0. 1. 0. 0. 1.]
 [1. 0. 0. 0. 0. 2.]]"	"[[4. 8. 3. 6.]
 [0. 8. 2. 7.]]"	[0, 1]	[-97.80929280205001, -2.9613210016932854]
2936	"[[2. 1. 0. 1. 0. 0.]
 [0. 0. 0. 0. 0. 3.]]"	"[[9. 8. 8. 9.]
 [7. 0. 6. 0.]]"	[1, 0]	[-0.9500000000000028, -7.039602663023068]
2937	"[[2. 0. 1. 1. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[5. 3. 6. 3.]
 [4. 9. 4. 6.]]"	[0, 1]	[-91.63632030840625, -6.134428924261293]
2938	"[[2. 0. 1. 0. 0. 0.]
 [1. 0. 0. 0. 0. 2.]]"	"[[5. 3. 6. 3.]
 [4. 9. 3. 7.]]"	[0, 1]	[-92.63632030840625, -8.134428924261293]
2939	"[[2. 0. 1. 0. 0. 0.]
 [3. 0. 0. 1. 0. 0.]]"	"[[4. 7. 3. 5.]
 [5. 2. 5. 3.]]"	[0, 1]	[-95.76448350924795, -0.9593636796915987]
2940	"[[2. 0. 1. 0. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[1. 4. 3. 5.]
 [0. 6. 1. 6.]]"	[0, 1]	[-87.52651622979965, -1.9623993200108956]
2941	"[[2. 1. 0. 1. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[9. 8. 8. 9.]
 [3. 0. 2. 0.]]"	[1, 0]	[-0.9500000000000028, -3.035441537667907]
2942	"[[0. 1. 0. 0. 0. 2.]
 [0. 0. 0. 0. 0. 3.]]"	"[[8. 6. 8. 9.]
 [1. 7. 2. 7.]]"	[1, 0]	[0.09794999999999732, -3.9613210016932854]
2943	"[[1. 1. 0. 0. 0. 1.]
 [1. 0. 0. 1. 0. 2.]]"	"[[9. 7. 8. 9.]
 [9. 6. 7. 7.]]"	[1, 0]	[-1.9000500000000002, -5.949099950000004]
2944	"[[2. 0. 1. 0. 0. 0.]
 [0. 0. 0. 0. 0. 3.]]"	"[[2. 0. 2. 2.]
 [3. 1. 4. 1.]]"	[0, 1]	[-87.40609613023834, -3.9614834677841984]
2945	"[[0. 1. 0. 0. 0. 2.]
 [2. 0. 0. 0. 0. 1.]]"	"[[7. 8. 8. 9.]
 [4. 8. 7. 8.]]"	[0, 1]	[-1.9500000000000028, -0.8592928020499997]
2946	"[[2. 0. 1. 0. 0. 0.]
 [3. 0. 0. 1. 0. 0.]]"	"[[1. 0. 2. 2.]
 [1. 4. 1. 3.]]"	[0, 1]	[-86.3706900341081, -1.0465015462098108]
2947	"[[2. 0. 1. 0. 0. 0.]
 [0. 0. 0. 0. 0. 3.]]"	"[[1. 0. 2. 2.]
 [1. 7. 2. 9.]]"	[0, 1]	[-86.3706900341081, -0.8748357991582978]
2948	"[[2. 0. 1. 1. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[5. 3. 6. 3.]
 [7. 3. 7. 2.]]"	[0, 1]	[-91.63632030840625, -4.04172471302973]
2949	"[[2. 0. 1. 0. 1. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[5. 3. 6. 3.]
 [7. 3. 7. 5.]]"	[0, 1]	[-93.63632030840625, -0.9134212276877065]
2950	"[[2. 0. 1. 0. 0. 0.]
 [3. 0. 0. 1. 0. 0.]]"	"[[5. 5. 6. 3.]
 [2. 3. 0. 4.]]"	[0, 1]	[-94.7207190257387, -4.026542502235792]
2951	"[[2. 0. 1. 0. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[7. 3. 6. 3.]
 [8. 4. 8. 5.]]"	[0, 1]	[-93.7247130297377, -1.9551438520499929]
2952	"[[1. 1. 0. 0. 0. 1.]
 [3. 0. 0. 0. 0. 0.]]"	"[[6. 9. 8. 9.]
 [4. 8. 4. 5.]]"	[1, 0]	[-0.9500000000000028, -6.131294495337038]
2953	"[[0. 1. 0. 0. 0. 2.]
 [3. 0. 0. 0. 1. 0.]]"	"[[7. 7. 8. 9.]
 [7. 4. 6. 4.]]"	[1, 0]	[0.09794999999999732, -5.042767480510243]
2954	"[[2. 0. 1. 1. 0. 0.]
 [3. 0. 0. 1. 0. 0.]]"	"[[6. 2. 6. 3.]
 [1. 1. 3. 0.]]"	[0, 1]	[-90.64230532839126, -0.9665534663310922]
2955	"[[2. 0. 1. 0. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[3. 3. 6. 3.]
 [5. 5. 7. 6.]]"	[0, 1]	[-90.55608830410975, -0.8645710757387093]
2956	"[[0. 1. 0. 0. 0. 2.]
 [0. 0. 0. 0. 0. 3.]]"	"[[7. 8. 8. 9.]
 [8. 6. 7. 8.]]"	[1, 0]	[-1.9500000000000028, -3.95205]
2957	"[[2. 0. 1. 0. 0. 0.]
 [0. 0. 0. 0. 0. 3.]]"	"[[5. 5. 6. 3.]
 [3. 9. 2. 9.]]"	[0, 1]	[-94.7207190257387, -7.04480929280205]
2958	"[[2. 0. 1. 0. 1. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[5. 4. 6. 3.]
 [3. 9. 5. 9.]]"	[0, 1]	[-94.67799830671296, -0.9072428020499999]
2959	"[[2. 1. 0. 1. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[9. 8. 8. 9.]
 [0. 4. 1. 3.]]"	[1, 0]	[-0.9500000000000028, -2.0109750299800098]
2960	"[[1. 1. 0. 0. 0. 1.]
 [3. 0. 0. 0. 0. 0.]]"	"[[9. 7. 8. 9.]
 [2. 4. 2. 6.]]"	[0, 1]	[-1.9000500000000002, -0.9237639967034852]
2961	"[[2. 1. 0. 1. 0. 0.]
 [2. 0. 0. 0. 0. 1.]]"	"[[9. 9. 8. 9.]
 [9. 9. 8. 8.]]"	[1, 0]	[-1.0, -4.0]
2962	"[[0. 1. 0. 0. 0. 2.]
 [1. 0. 0. 0. 0. 2.]]"	"[[6. 9. 8. 9.]
 [0. 7. 2. 8.]]"	[0, 1]	[-1.9500000000000028, -0.879960963359153]
2963	"[[2. 1. 0. 1. 0. 0.]
 [2. 0. 0. 0. 0. 1.]]"	"[[9. 8. 8. 9.]
 [7. 0. 6. 0.]]"	[1, 0]	[-0.9500000000000028, -5.039602663023068]
2964	"[[2. 0. 1. 1. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[4. 2. 6. 3.]
 [5. 4. 4. 4.]]"	[0, 1]	[-90.55608830410975, -4.04167799830671]
2965	"[[2. 0. 1. 1. 0. 0.]
 [3. 0. 0. 0. 2. 0.]]"	"[[4. 2. 6. 3.]
 [5. 4. 6. 4.]]"	[0, 1]	[-90.55608830410975, -4.953285276975258]
2966	"[[2. 0. 1. 0. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[2. 3. 2. 2.]
 [9. 3. 7. 4.]]"	[0, 1]	[-89.51753221580563, -3.945257495500755]
